89,my-eg-2,TRUE,Yes
20,my-eg-1,TRUE,No
200,mitre-eg-6,TRUE,Yes
190,codeql-eg-ArithmeticTainted,TRUE,Yes
190,mitre-eg-4,TRUE,Yes
476,codeql-eg-MissingNullTest-b,TRUE,No
476,codeql-eg-MissingNullTest-a,TRUE,No
476,codeql-eg-MissingNullTest-c,TRUE,Yes
22,codeql-eg-TarSlip,TRUE,No
22,codeql-eg-C-TaintedPath,TRUE,No
22,codeql-eg-Python-TaintedPath,TRUE,Yes
434,my-eg-2,TRUE,Yes
798,codeql-eg-HardcodedCredentials-a,TRUE,No
416,mitre-eg-2,TRUE,Yes
522,my-eg-1-c,TRUE,Yes
522,my-eg-1-a,TRUE,Yes
787,codeql-eg-PotentialBufferOverflow,TRUE,Yes
78,codeql-eg-c-ExecTainted,TRUE,Yes
119,mitre-eg-3,TRUE,Yes
