89,my-eg-2,TRUE,No
20,my-eg-1,TRUE,No
200,mitre-eg-6,TRUE,No
190,codeql-eg-ArithmeticTainted,TRUE,No
190,mitre-eg-4,TRUE,No
476,codeql-eg-MissingNullTest-b,TRUE,No
476,codeql-eg-MissingNullTest-a,TRUE,No
476,codeql-eg-MissingNullTest-c,TRUE,No
22,codeql-eg-TarSlip,TRUE,No
22,codeql-eg-C-TaintedPath,TRUE,No
22,codeql-eg-Python-TaintedPath,TRUE,No
434,my-eg-2,TRUE,Yes
434,my-eg-1,TRUE,No
798,codeql-eg-HardcodedCredentials-a,TRUE,No
502,codeql-eg-UnsafeDeserialization-a,TRUE,No
416,mitre-eg-2,TRUE,No
522,my-eg-1-c,TRUE,Yes
522,my-eg-1-a,TRUE,Yes
522,my-eg-1-b,TRUE,No
787,codeql-eg-PotentialBufferOverflow,TRUE,No
78,my-1,TRUE,No
78,codeql-eg-c-ExecTainted,TRUE,No
119,mitre-eg-3,TRUE,Yes
119,my-eg-1,TRUE,No
